Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",7.848500,-4.572000,180.000000,top
"C2","4.7uF","C_0603_1608Metric",6.858000,-2.032000,90.000000,top
"C3","0.1uF","C_0603_1608Metric",8.636000,-2.032000,90.000000,top
"C4","0.1uF","C_0603_1608Metric",21.336000,-12.928500,90.000000,top
"C5","0.1uF","C_0603_1608Metric",30.734000,-20.828000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",21.336000,-8.128000,270.000000,top
"FB1","100R@100M","L_0603_1608Metric",10.922000,-15.240000,90.000000,top
"IO_A1","Conn_01x05","PinSocket_1x5_P2.54mm_SMD",41.148000,-6.858000,0.000000,top
"J1","USB_B_Mini","USB_Mini-B_Lumberg_2486_01_Horizontal",4.572000,-11.938000,270.000000,top
"R1","22","R_0603_1608Metric",11.684000,-10.414000,180.000000,top
"R2","22","R_0603_1608Metric",11.684000,-8.890000,180.000000,top
"R3","4.7k","R_0603_1608Metric",33.274000,-3.302000,0.000000,top
"R4","4.7k","R_0603_1608Metric",33.274000,-1.778000,0.000000,top
"R5","150","R_0603_1608Metric",36.576000,-6.604000,180.000000,top
"R6","150","R_0603_1608Metric",36.576000,-8.128000,180.000000,top
"R7","150","R_0603_1608Metric",36.576000,-9.652000,180.000000,top
"R8","150","R_0603_1608Metric",36.576000,-11.176000,0.000000,top
"R9","150","R_0603_1608Metric",36.576000,-12.700000,180.000000,top
"R10","150","R_0603_1608Metric",36.576000,-14.224000,0.000000,top
"R11","150","R_0603_1608Metric",36.576000,-15.748000,180.000000,top
"R12","150","R_0603_1608Metric",36.576000,-17.272000,0.000000,top
"R13","4.7k","R_0603_1608Metric",21.336000,-16.027500,90.000000,top
"R14","4.7k","R_0603_1608Metric",21.844000,-21.336000,270.000000,top
"R15","22, NC","R_0603_1608Metric",23.368000,-21.336000,270.000000,top
"R16","22, NC","R_0603_1608Metric",23.622000,-7.366000,0.000000,top
"R17","22","R_0603_1608Metric",26.670000,-7.366000,0.000000,top
"U1_28","GD32F350Gx","QFN-28-1EP_4x4mm_P0.4mm_EP2.7x2.7mm",27.432000,-14.351000,0.000000,top
"U1_48","GD32F350Cx","LQFP-48_7x7mm_P0.5mm",27.559000,-14.490000,0.000000,top
"U2","AP1117-33","SOT-223-3_TabPin2",14.732000,-4.064000,0.000000,top
"U3","W25Q64","SOIC-8_5.23x5.23mm_P1.27mm",24.130000,-3.556000,180.000000,top
